Sensor_ID,Timestamp,Voltage (V),Current (A),Temperature (°C),Power (W),Humidity (%),Vibration (m/s²),Equipment_ID,Operational Status,Fault Status,Failure Type,Last Maintenance Date,Maintenance Type,Failure History,Repair Time (hrs),Maintenance Costs (USD),Ambient Temperature (°C),Ambient Humidity (%),External Factors,X,Y,Z,Equipment Relationship,Equipment Criticality,Fault Detected,Predictive Maintenance Trigger
S_137,1/6/2024 16:00,116,0.6,26,69.6,46,0.25,E_37,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,36,36,16,Dependent,High,0,1
S_138,1/6/2024 17:00,117,0.7,27,81.9,47,0.3,E_38,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,37,37,17,Dependent,Medium,0,0
S_139,1/6/2024 18:00,118,0.8,28,94.4,48,0.35,E_39,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,8,230,23,43,Clear Weather,38,38,18,Independent,High,1,0
S_140,1/6/2024 19:00,119,0.9,29,107.1,49,0.4,E_40,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,39,39,19,Dependent,Medium,0,0
S_141,1/6/2024 20:00,110,0.5,20,55,40,0.2,E_41,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,40,40,20,Dependent,High,0,1
S_142,1/6/2024 21:00,111,0.6,21,66.6,41,0.25,E_42,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,6,160,21,41,Storm,41,41,21,Independent,Medium,1,0
S_143,1/6/2024 22:00,112,0.7,22,78.4,42,0.3,E_43,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,42,42,22,Dependent,High,0,0
S_144,1/6/2024 23:00,113,0.8,23,90.4,43,0.35,E_44,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,43,43,23,Dependent,Medium,0,0
S_145,1/7/2024 0:00,114,0.9,24,102.6,44,0.4,E_45,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,9,190,24,44,Clear Weather,44,44,24,Independent,High,1,1
S_146,1/7/2024 1:00,115,0.5,25,57.5,45,0.2,E_46,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,45,45,25,Dependent,Medium,0,0
S_147,1/7/2024 2:00,116,0.6,26,69.6,46,0.25,E_47,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,46,46,26,Dependent,High,0,0
S_148,1/7/2024 3:00,117,0.7,27,81.9,47,0.3,E_48,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,7,220,22,42,Storm,47,47,27,Independent,Medium,1,0
S_149,1/7/2024 4:00,118,0.8,28,94.4,48,0.35,E_49,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,48,48,28,Dependent,High,0,1
S_150,1/7/2024 5:00,119,0.9,29,107.1,49,0.4,E_50,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,49,49,29,Dependent,Medium,0,0
S_151,1/7/2024 6:00,110,0.5,20,55,40,0.2,E_1,Operational,Fault Detected,Overheating,12/1/2024,Preventive,Fault Detected,5,150,20,40,Clear Weather,50,0,0,Independent,High,1,0
S_152,1/7/2024 7:00,111,0.6,21,66.6,41,0.25,E_2,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,51,1,1,Dependent,Medium,0,0
S_153,1/7/2024 8:00,112,0.7,22,78.4,42,0.3,E_3,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,52,2,2,Dependent,High,0,1
S_154,1/7/2024 9:00,113,0.8,23,90.4,43,0.35,E_4,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,8,180,23,43,Storm,53,3,3,Independent,Medium,1,0
S_155,1/7/2024 10:00,114,0.9,24,102.6,44,0.4,E_5,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,54,4,4,Dependent,High,0,0
S_156,1/7/2024 11:00,115,0.5,25,57.5,45,0.2,E_6,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,55,5,5,Dependent,Medium,0,0
S_157,1/7/2024 12:00,116,0.6,26,69.6,46,0.25,E_7,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,6,210,21,41,Clear Weather,56,6,6,Independent,High,1,1
S_158,1/7/2024 13:00,117,0.7,27,81.9,47,0.3,E_8,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,57,7,7,Dependent,Medium,0,0
S_159,1/7/2024 14:00,118,0.8,28,94.4,48,0.35,E_9,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,58,8,8,Dependent,High,0,0
S_160,1/7/2024 15:00,119,0.9,29,107.1,49,0.4,E_10,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,9,240,24,44,Storm,59,9,9,Independent,Medium,1,0
S_161,1/7/2024 16:00,110,0.5,20,55,40,0.2,E_11,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,60,10,10,Dependent,High,0,1
S_162,1/7/2024 17:00,111,0.6,21,66.6,41,0.25,E_12,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,61,11,11,Dependent,Medium,0,0
S_163,1/7/2024 18:00,112,0.7,22,78.4,42,0.3,E_13,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,7,170,22,42,Clear Weather,62,12,12,Independent,High,1,0
S_164,1/7/2024 19:00,113,0.8,23,90.4,43,0.35,E_14,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,63,13,13,Dependent,Medium,0,0
S_165,1/7/2024 20:00,114,0.9,24,102.6,44,0.4,E_15,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,64,14,14,Dependent,High,0,1
S_166,1/7/2024 21:00,115,0.5,25,57.5,45,0.2,E_16,Under Maintenance,Fault Detected,Overheating,12/1/2024,Corrective,No Fault,5,200,20,40,Storm,65,15,15,Independent,Medium,1,0
S_167,1/7/2024 22:00,116,0.6,26,69.6,46,0.25,E_17,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,66,16,16,Dependent,High,0,0
S_168,1/7/2024 23:00,117,0.7,27,81.9,47,0.3,E_18,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,67,17,17,Dependent,Medium,0,0
S_169,1/8/2024 0:00,118,0.8,28,94.4,48,0.35,E_19,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,8,230,23,43,Clear Weather,68,18,18,Independent,High,1,1
S_170,1/8/2024 1:00,119,0.9,29,107.1,49,0.4,E_20,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,69,19,19,Dependent,Medium,0,0
S_171,1/8/2024 2:00,110,0.5,20,55,40,0.2,E_21,Operational,No Fault,Overheating,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,70,20,20,Dependent,High,0,0
S_172,1/8/2024 3:00,111,0.6,21,66.6,41,0.25,E_22,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,6,160,21,41,Storm,71,21,21,Independent,Medium,1,0
S_173,1/8/2024 4:00,112,0.7,22,78.4,42,0.3,E_23,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,72,22,22,Dependent,High,0,1
S_174,1/8/2024 5:00,113,0.8,23,90.4,43,0.35,E_24,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,73,23,23,Dependent,Medium,0,0
S_175,1/8/2024 6:00,114,0.9,24,102.6,44,0.4,E_25,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,9,190,24,44,Clear Weather,74,24,24,Independent,High,1,0
S_176,1/8/2024 7:00,115,0.5,25,57.5,45,0.2,E_26,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,75,25,25,Dependent,Medium,0,0
S_177,1/8/2024 8:00,116,0.6,26,69.6,46,0.25,E_27,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,76,26,26,Dependent,High,0,1
S_178,1/8/2024 9:00,117,0.7,27,81.9,47,0.3,E_28,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,7,220,22,42,Storm,77,27,27,Independent,Medium,1,0
S_179,1/8/2024 10:00,118,0.8,28,94.4,48,0.35,E_29,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,78,28,28,Dependent,High,0,0
S_180,1/8/2024 11:00,119,0.9,29,107.1,49,0.4,E_30,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,79,29,29,Dependent,Medium,0,0
S_181,1/8/2024 12:00,110,0.5,20,55,40,0.2,E_31,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,5,150,20,40,Clear Weather,80,30,0,Independent,High,1,1
S_182,1/8/2024 13:00,111,0.6,21,66.6,41,0.25,E_32,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,81,31,1,Dependent,Medium,0,0
S_183,1/8/2024 14:00,112,0.7,22,78.4,42,0.3,E_33,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,82,32,2,Dependent,High,0,0
S_184,1/8/2024 15:00,113,0.8,23,90.4,43,0.35,E_34,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,8,180,23,43,Storm,83,33,3,Independent,Medium,1,0
S_185,1/8/2024 16:00,114,0.9,24,102.6,44,0.4,E_35,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,84,34,4,Dependent,High,0,1
S_186,1/8/2024 17:00,115,0.5,25,57.5,45,0.2,E_36,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,85,35,5,Dependent,Medium,0,0
S_187,1/8/2024 18:00,116,0.6,26,69.6,46,0.25,E_37,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,6,210,21,41,Clear Weather,86,36,6,Independent,High,1,0
S_188,1/8/2024 19:00,117,0.7,27,81.9,47,0.3,E_38,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,87,37,7,Dependent,Medium,0,0
S_189,1/8/2024 20:00,118,0.8,28,94.4,48,0.35,E_39,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,88,38,8,Dependent,High,0,1
S_190,1/8/2024 21:00,119,0.9,29,107.1,49,0.4,E_40,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,9,240,24,44,Storm,89,39,9,Independent,Medium,1,0
S_191,1/8/2024 22:00,110,0.5,20,55,40,0.2,E_41,Operational,No Fault,Overheating,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,90,40,10,Dependent,High,0,0
S_192,1/8/2024 23:00,111,0.6,21,66.6,41,0.25,E_42,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,91,41,11,Dependent,Medium,0,0
S_193,1/9/2024 0:00,112,0.7,22,78.4,42,0.3,E_43,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,7,170,22,42,Clear Weather,92,42,12,Independent,High,1,1
S_194,1/9/2024 1:00,113,0.8,23,90.4,43,0.35,E_44,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,93,43,13,Dependent,Medium,0,0
S_195,1/9/2024 2:00,114,0.9,24,102.6,44,0.4,E_45,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,94,44,14,Dependent,High,0,0
S_196,1/9/2024 3:00,115,0.5,25,57.5,45,0.2,E_46,Under Maintenance,Fault Detected,Overheating,12/1/2024,Corrective,No Fault,5,200,20,40,Storm,95,45,15,Independent,Medium,1,0
S_197,1/9/2024 4:00,116,0.6,26,69.6,46,0.25,E_47,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,96,46,16,Dependent,High,0,1
S_198,1/9/2024 5:00,117,0.7,27,81.9,47,0.3,E_48,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,97,47,17,Dependent,Medium,0,0
S_199,1/9/2024 6:00,118,0.8,28,94.4,48,0.35,E_49,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,8,230,23,43,Clear Weather,98,48,18,Independent,High,1,0
S_200,1/9/2024 7:00,119,0.9,29,107.1,49,0.4,E_50,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,99,49,19,Dependent,Medium,0,0
S_201,1/9/2024 8:00,110,0.5,20,55,40,0.2,E_1,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,0,0,20,Dependent,High,0,1
S_202,1/9/2024 9:00,111,0.6,21,66.6,41,0.25,E_2,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,6,160,21,41,Storm,1,1,21,Independent,Medium,1,0
S_203,1/9/2024 10:00,112,0.7,22,78.4,42,0.3,E_3,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,2,2,22,Dependent,High,0,0
S_204,1/9/2024 11:00,113,0.8,23,90.4,43,0.35,E_4,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,3,3,23,Dependent,Medium,0,0
S_205,1/9/2024 12:00,114,0.9,24,102.6,44,0.4,E_5,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,9,190,24,44,Clear Weather,4,4,24,Independent,High,1,1
S_206,1/9/2024 13:00,115,0.5,25,57.5,45,0.2,E_6,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,5,5,25,Dependent,Medium,0,0
S_207,1/9/2024 14:00,116,0.6,26,69.6,46,0.25,E_7,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,6,6,26,Dependent,High,0,0
S_208,1/9/2024 15:00,117,0.7,27,81.9,47,0.3,E_8,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,7,220,22,42,Storm,7,7,27,Independent,Medium,1,0
S_209,1/9/2024 16:00,118,0.8,28,94.4,48,0.35,E_9,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,8,8,28,Dependent,High,0,1
S_210,1/9/2024 17:00,119,0.9,29,107.1,49,0.4,E_10,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,9,9,29,Dependent,Medium,0,0
S_211,1/9/2024 18:00,110,0.5,20,55,40,0.2,E_11,Operational,Fault Detected,Overheating,12/1/2024,Preventive,Fault Detected,5,150,20,40,Clear Weather,10,10,0,Independent,High,1,0
S_212,1/9/2024 19:00,111,0.6,21,66.6,41,0.25,E_12,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,11,11,1,Dependent,Medium,0,0
S_213,1/9/2024 20:00,112,0.7,22,78.4,42,0.3,E_13,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,12,12,2,Dependent,High,0,1
S_214,1/9/2024 21:00,113,0.8,23,90.4,43,0.35,E_14,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,8,180,23,43,Storm,13,13,3,Independent,Medium,1,0
S_215,1/9/2024 22:00,114,0.9,24,102.6,44,0.4,E_15,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,14,14,4,Dependent,High,0,0
S_216,1/9/2024 23:00,115,0.5,25,57.5,45,0.2,E_16,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,15,15,5,Dependent,Medium,0,0
S_217,1/10/2024 0:00,116,0.6,26,69.6,46,0.25,E_17,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,6,210,21,41,Clear Weather,16,16,6,Independent,High,1,1
S_218,1/10/2024 1:00,117,0.7,27,81.9,47,0.3,E_18,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,17,17,7,Dependent,Medium,0,0
S_219,1/10/2024 2:00,118,0.8,28,94.4,48,0.35,E_19,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,18,18,8,Dependent,High,0,0
S_220,1/10/2024 3:00,119,0.9,29,107.1,49,0.4,E_20,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,9,240,24,44,Storm,19,19,9,Independent,Medium,1,0
S_221,1/10/2024 4:00,110,0.5,20,55,40,0.2,E_21,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,20,20,10,Dependent,High,0,1
S_222,1/10/2024 5:00,111,0.6,21,66.6,41,0.25,E_22,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,21,21,11,Dependent,Medium,0,0
S_223,1/10/2024 6:00,112,0.7,22,78.4,42,0.3,E_23,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,7,170,22,42,Clear Weather,22,22,12,Independent,High,1,0
S_224,1/10/2024 7:00,113,0.8,23,90.4,43,0.35,E_24,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,23,23,13,Dependent,Medium,0,0
S_225,1/10/2024 8:00,114,0.9,24,102.6,44,0.4,E_25,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,24,24,14,Dependent,High,0,1
S_226,1/10/2024 9:00,115,0.5,25,57.5,45,0.2,E_26,Under Maintenance,Fault Detected,Overheating,12/1/2024,Corrective,No Fault,5,200,20,40,Storm,25,25,15,Independent,Medium,1,0
S_227,1/10/2024 10:00,116,0.6,26,69.6,46,0.25,E_27,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,26,26,16,Dependent,High,0,0
S_228,1/10/2024 11:00,117,0.7,27,81.9,47,0.3,E_28,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,27,27,17,Dependent,Medium,0,0
S_229,1/10/2024 12:00,118,0.8,28,94.4,48,0.35,E_29,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,8,230,23,43,Clear Weather,28,28,18,Independent,High,1,1
S_230,1/10/2024 13:00,119,0.9,29,107.1,49,0.4,E_30,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,29,29,19,Dependent,Medium,0,0
S_231,1/10/2024 14:00,110,0.5,20,55,40,0.2,E_31,Operational,No Fault,Overheating,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,30,30,20,Dependent,High,0,0
S_232,1/10/2024 15:00,111,0.6,21,66.6,41,0.25,E_32,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,6,160,21,41,Storm,31,31,21,Independent,Medium,1,0
S_233,1/10/2024 16:00,112,0.7,22,78.4,42,0.3,E_33,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,32,32,22,Dependent,High,0,1
S_234,1/10/2024 17:00,113,0.8,23,90.4,43,0.35,E_34,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,33,33,23,Dependent,Medium,0,0
S_235,1/10/2024 18:00,114,0.9,24,102.6,44,0.4,E_35,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,9,190,24,44,Clear Weather,34,34,24,Independent,High,1,0
S_236,1/10/2024 19:00,115,0.5,25,57.5,45,0.2,E_36,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,35,35,25,Dependent,Medium,0,0
S_237,1/10/2024 20:00,116,0.6,26,69.6,46,0.25,E_37,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,36,36,26,Dependent,High,0,1
S_238,1/10/2024 21:00,117,0.7,27,81.9,47,0.3,E_38,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,7,220,22,42,Storm,37,37,27,Independent,Medium,1,0
S_239,1/10/2024 22:00,118,0.8,28,94.4,48,0.35,E_39,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,38,38,28,Dependent,High,0,0
S_240,1/10/2024 23:00,119,0.9,29,107.1,49,0.4,E_40,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,39,39,29,Dependent,Medium,0,0
S_241,1/11/2024 0:00,110,0.5,20,55,40,0.2,E_41,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,5,150,20,40,Clear Weather,40,40,0,Independent,High,1,1
S_242,1/11/2024 1:00,111,0.6,21,66.6,41,0.25,E_42,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,41,41,1,Dependent,Medium,0,0
S_243,1/11/2024 2:00,112,0.7,22,78.4,42,0.3,E_43,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,42,42,2,Dependent,High,0,0
S_244,1/11/2024 3:00,113,0.8,23,90.4,43,0.35,E_44,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,8,180,23,43,Storm,43,43,3,Independent,Medium,1,0
S_245,1/11/2024 4:00,114,0.9,24,102.6,44,0.4,E_45,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,44,44,4,Dependent,High,0,1
S_246,1/11/2024 5:00,115,0.5,25,57.5,45,0.2,E_46,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,45,45,5,Dependent,Medium,0,0
S_247,1/11/2024 6:00,116,0.6,26,69.6,46,0.25,E_47,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,6,210,21,41,Clear Weather,46,46,6,Independent,High,1,0
S_248,1/11/2024 7:00,117,0.7,27,81.9,47,0.3,E_48,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,47,47,7,Dependent,Medium,0,0
S_249,1/11/2024 8:00,118,0.8,28,94.4,48,0.35,E_49,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,48,48,8,Dependent,High,0,1
S_250,1/11/2024 9:00,119,0.9,29,107.1,49,0.4,E_50,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,9,240,24,44,Storm,49,49,9,Independent,Medium,1,0
S_251,1/11/2024 10:00,110,0.5,20,55,40,0.2,E_1,Operational,No Fault,Overheating,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,50,0,10,Dependent,High,0,0
S_252,1/11/2024 11:00,111,0.6,21,66.6,41,0.25,E_2,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,51,1,11,Dependent,Medium,0,0
S_253,1/11/2024 12:00,112,0.7,22,78.4,42,0.3,E_3,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,7,170,22,42,Clear Weather,52,2,12,Independent,High,1,1
S_254,1/11/2024 13:00,113,0.8,23,90.4,43,0.35,E_4,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,53,3,13,Dependent,Medium,0,0
S_255,1/11/2024 14:00,114,0.9,24,102.6,44,0.4,E_5,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,54,4,14,Dependent,High,0,0
S_256,1/11/2024 15:00,115,0.5,25,57.5,45,0.2,E_6,Under Maintenance,Fault Detected,Overheating,12/1/2024,Corrective,No Fault,5,200,20,40,Storm,55,5,15,Independent,Medium,1,0
S_257,1/11/2024 16:00,116,0.6,26,69.6,46,0.25,E_7,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,56,6,16,Dependent,High,0,1
S_258,1/11/2024 17:00,117,0.7,27,81.9,47,0.3,E_8,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,57,7,17,Dependent,Medium,0,0
S_259,1/11/2024 18:00,118,0.8,28,94.4,48,0.35,E_9,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,8,230,23,43,Clear Weather,58,8,18,Independent,High,1,0
S_260,1/11/2024 19:00,119,0.9,29,107.1,49,0.4,E_10,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,59,9,19,Dependent,Medium,0,0
S_261,1/11/2024 20:00,110,0.5,20,55,40,0.2,E_11,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,60,10,20,Dependent,High,0,1
S_262,1/11/2024 21:00,111,0.6,21,66.6,41,0.25,E_12,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,6,160,21,41,Storm,61,11,21,Independent,Medium,1,0
S_263,1/11/2024 22:00,112,0.7,22,78.4,42,0.3,E_13,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,62,12,22,Dependent,High,0,0
S_264,1/11/2024 23:00,113,0.8,23,90.4,43,0.35,E_14,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,63,13,23,Dependent,Medium,0,0
S_265,1/12/2024 0:00,114,0.9,24,102.6,44,0.4,E_15,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,9,190,24,44,Clear Weather,64,14,24,Independent,High,1,1
S_266,1/12/2024 1:00,115,0.5,25,57.5,45,0.2,E_16,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,65,15,25,Dependent,Medium,0,0
S_267,1/12/2024 2:00,116,0.6,26,69.6,46,0.25,E_17,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,66,16,26,Dependent,High,0,0
S_268,1/12/2024 3:00,117,0.7,27,81.9,47,0.3,E_18,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,7,220,22,42,Storm,67,17,27,Independent,Medium,1,0
S_269,1/12/2024 4:00,118,0.8,28,94.4,48,0.35,E_19,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,68,18,28,Dependent,High,0,1
S_270,1/12/2024 5:00,119,0.9,29,107.1,49,0.4,E_20,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,69,19,29,Dependent,Medium,0,0
S_271,1/12/2024 6:00,110,0.5,20,55,40,0.2,E_21,Operational,Fault Detected,Overheating,12/1/2024,Preventive,Fault Detected,5,150,20,40,Clear Weather,70,20,0,Independent,High,1,0
S_272,1/12/2024 7:00,111,0.6,21,66.6,41,0.25,E_22,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,71,21,1,Dependent,Medium,0,0
S_273,1/12/2024 8:00,112,0.7,22,78.4,42,0.3,E_23,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,72,22,2,Dependent,High,0,1
S_274,1/12/2024 9:00,113,0.8,23,90.4,43,0.35,E_24,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,8,180,23,43,Storm,73,23,3,Independent,Medium,1,0
